,latin_maxim,translation,description
0,a bene placito,from one who has been pleased well,"Or ""at will"", ""at one's pleasure"". This phrase, and its Italian (beneplacito) and Spanish (benepl?cito) derivatives, are synonymous with the more common ad libitum (at pleasure)."
1,a caelo usque ad centrum,from the sky to the center,"Or ""from heaven all the way to the center of the earth"". In law, can refer to the obsolete cuius est solum eius est usque ad coelum et ad inferos maxim of property ownership (""for whoever owns the soil, it is theirs up to the sky and down to the depths"")."
2,a capite ad calcem,from head to heel,From top to bottom; all the way through. Equally a pedibus usque ad caput.
3,a contrario,from the opposite,"Equivalent to ""on the contrary"" or ""au contraire"". An argumentum a contrario is an ""argument from the contrary"", an argument or proof by contrast or direct opposite."
4,a Deucalione,since Deucalion,"A long time ago. From Gaius Lucilius (Satires, 6, 284)"
5,a fortiori,from the stronger,"Loosely, ""even more so"" or ""with even stronger reason"". Often used to lead from a less certain proposition to a more evident corollary."
6,a mari usque ad mare,from sea to sea,"From Psalm 72:8, ""Et dominabitur a mari usque ad mare, et a flumine usque ad terminos terrae"" (KJV: ""He shall have dominion also from sea to sea, and from the river unto the ends of the earth""). National motto of Canada."
7,a pedibus usque ad caput,from feet to head,"Completely. Similar to the English expressions ""from tip to toe"" or ""from top to toe"". Equally a capite ad calcem. See also ab ovo usque ad mala."
8,a posse ad esse,from being able to being,"""From possibility to actuality"" or ""from being possible to being actual"""
9,a posteriori,from the latter,"Based on observation (i.e., empirical knowledge), the reverse of a priori. Used in mathematics and logic to denote something that is known after a proof has been carried out. In philosophy, used to denote something that can be known from empirical experience."
10,a priori,from the former,"Presupposed, the reverse of a posteriori. Used in mathematics and logic to denote something that is known or postulated before a proof has been carried out. In philosophy, used to denote something that can be known without empirical experience. In everyday speech, it denotes something occurring or being known before the event."
11,ab absurdo,from the absurd,"Said of an argument that seeks to prove a statement's validity by pointing out the absurdity of an opponent's position (cf. appeal to ridicule) or that an assertion is false because of its absurdity. Not to be confused with a reductio ad absurdum, which is usually a valid logical argument."
12,ab abusu ad usum non valet consequentia,a consequence from an abuse to a use is not v,Inferences regarding something's use from its misuse are invalid. Rights abused are still rights (cf. abusus non tollit usum).
13,ab aeterno,from the eternal,"Literally, ""from the everlasting"" or ""from eternity"". Thus, ""from time immemorial"", ""since the beginning of time"" or ""from an infinitely remote time in the past"". In theology, often indicates something, such as the universe, that was created outside of time."
14,ab antiquo,from the ancient,From ancient times.
15,ab epistulis,from the letter,"Or, having to do with correspondence."
16,ab extra,from beyond,"A legal term meaning ""from without"". From external sources, rather than from the self or the mind (ab intra)."
17,ab hinc,from here on,"Often rendered abhinc (which in Latin means simply ""since"" or ""ago"")."
18,ab imo pectore,from the bottom of my heart,"More literally, ""from the deepest chest"". Attributed to Julius Caesar. Can mean ""with deepest affection"" or ""sincerely""."
19,ab inconvenienti,from an inconvenient thing,"New Latin for ""based on unsuitability"", ""from inconvenience"" or ""from hardship"". An argumentum ab inconvenienti is one based on the difficulties involved in pursuing a line of reasoning, and is thus a form of appeal to consequences; it refers to a rule in law that an argument from inconvenience has great weight."
20,ab incunabulis,from the cradle,"Thus, ""from the beginning"" or ""from infancy"". Incunabula is commonly used in English to refer to the earliest stage or origin of something, and especially to copies of books that predate the spread of the printing press around AD 1500."
21,ab initio,from the beginning,"""At the outset"", referring to an inquiry or investigation. In literature, refers to a story told from the beginning rather than in medias res (from the middle). In law, refers to something being the case from the start or from the instant of the act, rather than from when the court declared it so. A judicial declaration of the invalidity of a marriage ab initio is a nullity. In science, refers to the first principles. In other contexts, often refers to beginner or training courses. Ab initio mundi means ""from the beginning of the world""."
22,ab intestato,from an intestate,From someone who dies with no legal will (cf. ex testamento).
23,ab intra,from within,From the inside. The opposite of ab extra.
24,ab irato,from an angry man,"By a person who is angry. Used in law to describe a decision or action that is detrimental to those it affects and was made based on hatred or anger, rather than on reason. The form irato is masculine; however, this does not mean it applies only to men, rather 'person' is meant, as the phrase probably elides ""homo,"" not ""vir."""
25,ab origine,from the source,"From the origin, beginning, source, or commencement?i.e., ""originally"". The source of the word aboriginal."
26,ab ovo usque ad mala,from the egg to the apples,"From Horace, Satire 1.3. Means ""from beginning to end"", based on the Roman main meal typically beginning with an egg dish and ending with fruit (cf. the English phrase soup to nuts). Thus, ab ovo means ""from the beginning"", and can also connote thoroughness."
27,ab uno disce omnes,"from one, learn all",From Virgil's Aeneid. Refers to situations where a single example or observation indicates a general or universal truth.
28,ab urbe condita (a.u.c.),from the city having been founded,"Refers to the founding of Rome, which occurred in 753 BC according to Livy's count. Used as a reference point in ancient Rome for establishing dates, before being supplanted by other systems. Also anno urbis conditae (a.u.c.) (literally ""in the year of the founded city"")."
29,ab utili,from utility,Used of an argument.
30,absens haeres non erit,an absent person will not be an heir,"In law, refers to the principle that someone who is not present is unlikely to inherit."
31,absente reo (abs. re.),with the defendant being absent,In the absence of the accused.
32,absit iniuria verbis,let injury by words be absent,"Expresses the wish that no insult or wrong be conveyed by the speaker's words, i.e., ""no offense"". Also rendered absit injuria verbis; see also absit invidia."
33,absit invidia,let ill will be absent,"Although similar to the English expression ""no offense"", absit invidia is not a mere social gesture to avoid causing offense, but also a way to ward off the harm that some people superstitiously believe animosity can cause others. Also extended to absit invidia verbo, meaning ""may ill will be absent from the word"" (cf. absit iniuria verbis)."
34,absit omen,let an omen be absent,"In other words, ""let there not be an omen here"". Expresses the wish that something seemingly ill-boding does not turn out to be an omen for future events, and calls on divine protection against evil."
35,absolutum dominium,absolute dominion,Total power or sovereignty.
36,absolvo,I acquit,"A legal term said by a judge acquitting a defendant following a trial. Te absolvo or absolvo te, translated, ""I forgive you,"" said by Roman Catholic priests during the Sacrament of Confession prior to Vatican II."
37,abundans cautela non nocet,abundant caution does no harm,"Thus, one can never be too careful; even excessive precautions don't hurt anyone."
38,abusus non tollit usum,misuse does not remove use,"An axiom stating that just because something can be, or has been, abused, does not mean that it must be, or always is. Abuse does not, in itself, justify denial of use"
39,abyssus abyssum invocat,deep calleth unto deep,From Psalms 42:7; some translations have 'Sea calls to sea'.
40,accusare nemo se debet nisi coram Deo,no one ought to accuse himself except in the ,"A legal maxim denoting that any accused person is entitled to make a plea of not guilty, and also that a witness is not obliged to give a response or submit a document that will incriminate himself. A very similar phrase is nemo tenetur seipsum accusare."
41,Accipe Hoc ,Take this,"Motto of 848 Naval Air Squadron, Royal Navy."
42,acta est fabula plaudite,The play has been performed; applaud!,"A common ending to ancient Roman comedies, also claimed by Suetonius in Lives of the Twelve Caesars to have been Caesar Augustus' last words. Applied by Sibelius to the third movement of his String Quartet no. 2 so that his audience would realize it was the last one, as a fourth would normally be expected."
43,acta non verba,"actions, not words",Motto of the United States Merchant Marine Academy.
44,Acta Sanctorum,Deeds of the Saints,"Also used in the singular, Acta Sancti (Deeds of the Saint), preceding a specific Saint's name. A common title of works in hagiography."
45,actus non facit reum nisi mens sit rea,The act is not guilty unless the mind is also,A legal term outlining the presumption of mens rea in a crime.
